"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.390678051E1,6.506076660E1,2.546478535E1,1.151455257E1,1.230000019E0,1.773000031E2,3.000000000E0,1.000000000E2
4.490016393E1,6.506075474E1,2.546478770E1,1.151455739E1,1.490000010E0,1.805000000E2,3.500000000E0,1.000000000E2
4.590444370E1,6.506074137E1,2.546478979E1,1.151456276E1,1.500000000E0,1.846999969E2,3.000000000E0,1.000000000E2
4.690434424E1,6.506072968E1,2.546479004E1,1.151456727E1,1.360000014E0,1.883999939E2,3.000000000E0,1.000000000E2
4.791148558E1,6.506071618E1,2.546479382E1,1.151457288E1,9.399999976E-1,1.906999969E2,3.000000000E0,1.000000000E2
4.891441570E1,6.506070223E1,2.546480563E1,1.151457956E1,1.529999971E0,1.815000000E2,3.000000000E0,1.000000000E2
4.989797577E1,6.506068995E1,2.546480832E1,1.151458457E1,1.199999928E0,1.840000000E2,3.000000000E0,1.000000000E2
5.092022642E1,6.506067612E1,2.546481058E1,1.151459014E1,1.339999914E0,1.876999969E2,3.000000000E0,1.000000000E2
5.191075543E1,6.506066233E1,2.546480647E1,1.151459497E1,1.110000014E0,1.931000061E2,3.000000000E0,1.000000000E2
5.290445942E1,6.506064862E1,2.546480052E1,1.251459957E1,1.289999962E0,1.901000061E2,3.000000000E0,1.000000000E2
5.390657242E1,6.506063194E1,2.546479675E1,1.251460555E1,1.490000010E0,1.876999969E2,2.500000000E0,1.000000000E2
5.491395277E1,6.506061443E1,2.546479541E1,1.251461213E1,1.539999962E0,1.858999939E2,2.500000000E0,1.000000000E2
5.589928281E1,6.506059603E1,2.546479834E1,1.251461952E1,1.419999957E0,1.845000000E2,2.500000000E0,1.000000000E2
5.692000896E1,6.506057914E1,2.546480170E1,1.351462638E1,1.370000005E0,1.793000031E2,3.000000000E0,1.000000000E2
5.789040592E1,6.506056279E1,2.546480647E1,1.351463319E1,1.419999957E0,1.716000061E2,2.500000000E0,1.000000000E2
5.891736550E1,6.506054046E1,2.546480304E1,1.351464138E1,1.469999909E0,1.638000031E2,2.500000000E0,1.000000000E2
5.990704430E1,6.506052009E1,2.546480522E1,1.351464945E1,1.429999948E0,1.593999939E2,2.500000000E0,1.000000000E2
6.090596765E1,6.506050555E1,2.546482181E1,1.351465688E1,1.179999948E0,1.441999969E2,2.500000000E0,1.000000000E2
6.192293450E1,6.506049599E1,2.546484947E1,1.351466364E1,1.480000019E0,1.211999969E2,2.500000000E0,1.000000000E2
6.292190792E1,6.506048627E1,2.546486783E1,1.351466942E1,1.379999995E0,1.033000031E2,2.500000000E0,1.000000000E2
6.389604022E1,6.506047948E1,2.546489582E1,1.351467515E1,1.589999914E0,9.169999695E1,2.500000000E0,1.000000000E2
